Senador,Asistencia,Partido,Numero,size
 paloma susana valencia laserna,0.85,CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,1,0.01
 ana mercedes gomez martinez,0.29,CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,2,0.01
 susana correa borrero,0.85,CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,3,0.01
 ruby thania vega de plazas,0.86,CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,4,0.01
 paola andrea holguin moreno,0.86,CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,5,0.01
 nohora stella tovar rey,0.85,CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,6,0.01
 alfredo rangel suarez,0.86,CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,7,0.01
 ivan duque marquez,0.86,CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,8,0.01
 fernando nicolas araujo rumie,0.86,CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,9,0.01
 orlando castaneda serrano,0.86,CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,10,0.01
 daniel alberto cabrales castillo,0.85,CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,11,0.01
 everth bustamante garcia,0.86,CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,12,0.01
 alfredo ramos maya,0.86,CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,13,0.01
 jaime alejandro amin hernandez,0.86,CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,14,0.01
 ernesto macias tovar,0.86,CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,15,0.01
 honorio miguel henriquez pinedo,0.86,CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,16,0.01
 maria del rosario guerra de la espriella,0.99,CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,17,0.01
 alvaro uribe velez,0.86,CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,18,0.01
 jose obdulio gaviria velez,0.86,CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,19,0.01
 carlos felipe mejia mejia,0.86,CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,20,0.01
 luis evelis andrade casama,0.86,"MOVIMIENTO ALTERNATIVO INDIGENA
Y SOCIAL - MAIS",21,0.01
 marco anibal avirama avirama,0.99,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""",22,0.01
 claudia nayibe lopez hernandez,0.86,PARTIDO ALIANZA VERDE,23,0.01
 antonio jose navarro wolff,0.85,PARTIDO ALIANZA VERDE,24,0.01
 jorge ivan ospina gomez,0.86,PARTIDO ALIANZA VERDE,25,0.01
 ivan leonidas name vasquez,0.99,PARTIDO ALIANZA VERDE,26,0.01
 jorge elieser prieto riveros,0.86,PARTIDO ALIANZA VERDE,27,0.01
 daira de jesus galvis mendez,0.99,PARTIDO CAMBIO RADICAL,28,0.01
 rosmery martinez rosales,0.86,PARTIDO CAMBIO RADICAL,29,0.01
 arturo char chaljub,0.86,PARTIDO CAMBIO RADICAL,30,0.01
 carlos fernando galan pachon,0.86,PARTIDO CAMBIO RADICAL,31,0.01
 german varon cotrino,0.85,PARTIDO CAMBIO RADICAL,32,0.01
 juan carlos restrepo escobar,0.99,PARTIDO CAMBIO RADICAL,33,0.01
 bernabe celis carrillo,1.00,PARTIDO CAMBIO RADICAL,34,0.01
 carlos fernando motoa solarte,0.99,PARTIDO CAMBIO RADICAL,35,0.01
 antonio del cristo guerra de la espriella,0.99,PARTIDO CAMBIO RADICAL,36,0.01
 nora maria garcia burgos,0.99,PARTIDO CONSERVADOR COLOMBIANO,37,0.01
 yamina del carmen pestana rojas,0.85,PARTIDO CONSERVADOR COLOMBIANO,38,0.01
 nidia marcela osorio salgado,0.86,PARTIDO CONSERVADOR COLOMBIANO,39,0.01
 myriam alicia paredes aguirre,0.99,PARTIDO CONSERVADOR COLOMBIANO,40,0.01
 olga lucia suarez mira,0.99,PARTIDO CONSERVADOR COLOMBIANO,41,0.01
 nadya georgette blel scaff,0.86,PARTIDO CONSERVADOR COLOMBIANO,42,0.01
 roberto victor gerlein echeverria,0.98,PARTIDO CONSERVADOR COLOMBIANO,43,0.01
 efrain jose cepeda sarabia,0.99,PARTIDO CONSERVADOR COLOMBIANO,44,0.01
 laureano augusto acuna diaz,0.86,PARTIDO CONSERVADOR COLOMBIANO,45,0.01
 javier mauricio delgado martinez,0.85,PARTIDO CONSERVADOR COLOMBIANO,46,0.01
 carlos eduardo enriquez maya,1.00,PARTIDO CONSERVADOR COLOMBIANO,47,0.01
 hernan francisco andrade serrano,1.00,PARTIDO CONSERVADOR COLOMBIANO,48,0.01
 jorge hernando pedraza gutierrez,1.00,PARTIDO CONSERVADOR COLOMBIANO,49,0.01
 juan samy merheg marun,0.99,PARTIDO CONSERVADOR COLOMBIANO,50,0.01
 juan diego gomez jimenez,0.85,PARTIDO CONSERVADOR COLOMBIANO,51,0.01
 juan manuel corzo roman,1.00,PARTIDO CONSERVADOR COLOMBIANO,52,0.01
 luis emilio sierra grajales,0.99,PARTIDO CONSERVADOR COLOMBIANO,53,0.01
 fernando eustacio tamayo tamayo,0.99,PARTIDO CONSERVADOR COLOMBIANO,54,0.01
 arleth patricia casado de lopez,0.99,PARTIDO LIBERAL COLOMBIANO,55,0.01
 viviane aleyda morales hoyos,0.86,PARTIDO LIBERAL COLOMBIANO,56,0.01
 sofia alejandra gaviria correa,0.86,PARTIDO LIBERAL COLOMBIANO,57,0.01
 horacio serpa uribe,0.85,PARTIDO LIBERAL COLOMBIANO,58,0.01
 andres cristo bustos,0.86,PARTIDO LIBERAL COLOMBIANO,59,0.01
 juan manuel galan pachon,0.99,PARTIDO LIBERAL COLOMBIANO,60,0.01
 guillermo garcia realpe,0.99,PARTIDO LIBERAL COLOMBIANO,61,0.01
 alvaro antonio ashton giraldo,0.99,PARTIDO LIBERAL COLOMBIANO,62,0.01
 lidio arturo garcia turbay,0.99,PARTIDO LIBERAL COLOMBIANO,63,0.01
 jaime enrique duran barrera,0.99,PARTIDO LIBERAL COLOMBIANO,64,0.01
 luis fernando velasco chaves,1.00,PARTIDO LIBERAL COLOMBIANO,65,0.01
 eugenio enrique prieto soto,0.40,PARTIDO LIBERAL COLOMBIANO,66,0.01
 mario alberto fernandez alcocer,0.86,PARTIDO LIBERAL COLOMBIANO,67,0.01
 edinson delgado ruiz,0.99,PARTIDO LIBERAL COLOMBIANO,68,0.01
 rodrigo villalba mosquera,0.99,PARTIDO LIBERAL COLOMBIANO,69,0.01
 javier tato alvarez montenegro,0.85,PARTIDO LIBERAL COLOMBIANO,70,0.01
 luis fernando duque garcia,0.97,PARTIDO LIBERAL COLOMBIANO,71,0.01
 doris clemencia vega quiroz,0.99,PARTIDO OPCION CIUDADANA,72,0.01
 teresita garcia romero,0.99,PARTIDO OPCION CIUDADANA,73,0.01
 nerthink mauricio aguilar hurtado,0.99,PARTIDO OPCION CIUDADANA,74,0.01
