"V1","V2","V3","V4","V5"
"Luis Evelis Andrade Casamá","97.4576271186399","MAIS","1","1.02608695652178"
"Marco Aníbal Avirama Avirama","99.9999999999959","ASI","2","1.00000000000004"
"María Del Rosario Guerra De La Espriella","97.4576271186399","Centro Democrático","3","1.02608695652178"
"Paloma Susana Valencia Laserna","94.9152542372841","Centro Democrático","4","1.05357142857147"
"Ana Mercedes Gómez Martínez","28.8135593220329","Centro Democrático","5","3.47058823529424"
"Susana Correa Borrero","98.3050847457585","Centro Democrático","6","1.01724137931039"
"Ruby Thania Vega De Plazas","91.5254237288097","Centro Democrático","7","1.09259259259264"
"Paola Andrea Holguín Moreno","99.1525423728772","Centro Democrático","8","1.00854700854705"
"Nohora Stella Tovar Rey","95.7627118644027","Centro Democrático","9","1.04424778761066"
"Álvaro  Uribe Vélez","97.4576271186399","Centro Democrático","10","1.02608695652178"
"Alfredo Rangel Suárez","99.9999999999959","Centro Democrático","11","1.00000000000004"
"Iván Duque Márquez","99.9999999999959","Centro Democrático","12","1.00000000000004"
"Fernando Nicolás Araujo Rumie","99.1525423728772","Centro Democrático","13","1.00854700854705"
"José Obdulio Gaviria Vélez","98.3050847457585","Centro Democrático","14","1.01724137931039"
"Orlando Castañeda Serrano","95.7627118644027","Centro Democrático","15","1.04424778761066"
"Daniel Alberto Cabrales Castillo","98.3050847457585","Centro Democrático","16","1.01724137931039"
"Everth  Bustamante García","96.6101694915213","Centro Democrático","17","1.03508771929829"
"Alfredo Ramos Maya","99.9999999999959","Centro Democrático","18","1.00000000000004"
"Jaime Alejandro Amín Hernández","98.3050847457585","Centro Democrático","19","1.01724137931039"
"Ernesto  Macías Tovar","99.9999999999959","Centro Democrático","20","1.00000000000004"
"Carlos Felipe Mejía Mejía","99.9999999999959","Centro Democrático","21","1.00000000000004"
"Honorio Miguel Henríquez Pinedo","99.9999999999959","Centro Democrático","22","1.00000000000004"
"Claudia Nayibe López Hernández","99.1525423728772","Partido Verde","23","1.00854700854705"
"Antonio José Navarro Wolff","95.7627118644027","Partido Verde","24","1.04424778761066"
"Jorge Iván Ospina Gómez","98.3050847457585","Partido Verde","25","1.01724137931039"
"Iván Leonidas Name Vásquez","91.5254237288097","Partido Verde","26","1.09259259259264"
"Jorge Eliéser Prieto Riveros","95.7627118644027","Partido Verde","27","1.04424778761066"
"Daira De Jesús Galvis Méndez","86.4406779660981","Cambio Radical","28","1.15686274509809"
"Rosmery  Martínez Rosales","97.4576271186399","Cambio Radical","29","1.02608695652178"
"Arturo  Char Chaljub","78.8135593220305","Cambio Radical","30","1.26881720430113"
"Carlos Fernando Galán Pachón","99.1525423728772","Cambio Radical","31","1.00854700854705"
"Germán Varón Cotrino","98.3050847457585","Cambio Radical","32","1.01724137931039"
"Juan Carlos Restrepo Escobar","92.3728813559283","Cambio Radical","33","1.0825688073395"
"Bernabé  Celis Carrillo","98.3050847457585","Cambio Radical","34","1.01724137931039"
"Carlos Fernando Motoa Solarte","97.4576271186399","Cambio Radical","35","1.02608695652178"
"Antonio Del Cristo Guerra De La Espriella","97.4576271186399","Cambio Radical","36","1.02608695652178"
"Nora María García Burgos","97.4576271186399","Partido Conservador","37","1.02608695652178"
"Yamina Del Carmen Pestana Rojas","94.9152542372841","Partido Conservador","38","1.05357142857147"
"Nidia Marcela Osorio Salgado","97.4576271186399","Partido Conservador","39","1.02608695652178"
"Myriam Alicia Paredes Aguirre","96.6101694915213","Partido Conservador","40","1.03508771929829"
"Olga Lucía Suárez Mira","96.6101694915213","Partido Conservador","41","1.03508771929829"
"Nadya Georgette Blel Scaff","94.0677966101655","Partido Conservador","42","1.06306306306311"
"Roberto Víctor Gerlein Echeverría","72.8813559322003","Partido Conservador","43","1.37209302325587"
"Efrain José Cepeda Sarabia","98.3050847457585","Partido Conservador","44","1.01724137931039"
"Laureano Augusto Acuña Díaz","86.4406779660981","Partido Conservador","45","1.15686274509809"
